yourlist:M20180720A7434721E10EE6586998A056CCD0537E950197S	isomap:M20180720A7434721E10EE6586998A056CCD0537E950197S	Entry	Entry name	Status	Protein names	Gene names	Organism	Cross-reference (RefSeq)
YPO0093		Q7CLC9	ZAPB_YERPE	reviewed	Cell division protein ZapB	zapB YPO0093 y0045 YP_0097	Yersinia pestis	WP_002208953.1;YP_002345185.1;
YPO0102		Q0WKJ6	Q0WKJ6_YERPE	unreviewed	Putative exported protein	YPO0102	Yersinia pestis	WP_002228141.1;YP_002345192.1;
YPO0103		Q8ZJJ7	RRAA_YERPE	reviewed	Regulator of ribonuclease activity A	rraA menG YPO0103 y0292 YP_0105	Yersinia pestis	WP_002208945.1;YP_002345193.1;
YPO0105		Q8ZJJ5	HSLU_YERPE	reviewed	ATP-dependent protease ATPase subunit HslU (Unfoldase HslU)	hslU YPO0105 y0294 YP_0107	Yersinia pestis	WP_002208943.1;YP_002345195.1;
YPO0106		Q8ZJJ4	HSLV_YERPE	reviewed	ATP-dependent protease subunit HslV (EC 3.4.25.2)	hslV YPO0106 y0295 YP_0108	Yersinia pestis	WP_002208942.1;YP_002345196.1;
YPO0107		Q7CL21	Q7CL21_YERPE	unreviewed	Cell division protein FtsN	ftsN YPO0107	Yersinia pestis	WP_002208941.1;YP_002345197.1;
YPO0108		Q7CL20	Q7CL20_YERPE	unreviewed	Transcriptional repressor	cytR YPO0108	Yersinia pestis	WP_002216730.1;YP_002345198.1;
YPO0110		Q7CL19	Q7CL19_YERPE	unreviewed	Primosomal protein N' (EC 3.6.4.-) (ATP-dependent helicase PriA)	priA YPO0110	Yersinia pestis	WP_002208938.1;YP_002345199.1;
YPO0111		P58471	RL31_YERPE	reviewed	50S ribosomal protein L31	rpmE rpmE1 YPO0111 y0299 YP_0112	Yersinia pestis	WP_002216737.1;YP_002345200.1;
YPO0112		Q0WKI7	Q0WKI7_YERPE	unreviewed	Uncharacterized protein	YPO0112	Yersinia pestis	WP_002208936.1;YP_002345201.1;
YPO0114		Q8ZJI8	METJ_YERPE	reviewed	Met repressor (Met regulon regulatory protein MetJ)	metJ YPO0114 y0301 YP_0116	Yersinia pestis	WP_002208935.1;YP_002345203.1;
YPO0116		Q7CL18	Q7CL18_YERPE	unreviewed	Bifunctional aspartokinase/homoserine dehydrogenase [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]	metL YPO0116	Yersinia pestis	WP_002208934.1;YP_002345204.1;
YPO0117		Q7CL17	Q7CL17_YERPE	unreviewed	Methylenetetrahydrofolate reductase (EC 1.5.1.20)	metF YPO0117	Yersinia pestis	WP_002208933.1;YP_002345205.1;
YPO0120		Q7CFX9	Q7CFX9_YERPE	unreviewed	Glycerol-3-phosphate repressor protein	glpR YPO0120	Yersinia pestis	WP_002208930.1;YP_002345208.1;
YPO0123		Q8ZJI2	MALT_YERPE	reviewed	HTH-type transcriptional regulator MalT (ATP-dependent transcriptional activator MalT)	malT YPO0123 y3900 YP_0125	Yersinia pestis	WP_002208926.1;YP_002345211.1;
YPO0126		Q7CFX4	Q7CFX4_YERPE	unreviewed	4-alpha-glucanotransferase (EC 2.4.1.25) (Amylomaltase) (Disproportionating enzyme)	malQ YPO0126	Yersinia pestis	WP_002208925.1;YP_002345212.1;
YPO0127		Q8ZJI0	NFUA_YERPE	reviewed	Fe/S biogenesis protein NfuA	nfuA YPO0127 y3903 YP_0128	Yersinia pestis	WP_002208924.1;YP_002345213.1;
YPO0129		Q74Y45	BIOH_YERPE	reviewed	Pimeloyl-[acyl-carrier protein] methyl ester esterase (EC 3.1.1.85) (Biotin synthesis protein BioH) (Carboxylesterase BioH)	bioH YPO0129 y3908 YP_0130	Yersinia pestis	WP_002208922.1;YP_002345215.1;
YPO0130		Q0WKH2	Q0WKH2_YERPE	unreviewed	Putative exported protein	YPO0130	Yersinia pestis	WP_002208921.1;YP_002345216.1;
YPO0131		Q7CFX5	FEOC_YERPE	reviewed	Probable [Fe-S]-dependent transcriptional repressor	feoC YPO0131 y3910 YP_0132	Yersinia pestis	WP_002208920.1;YP_002345217.1;
YPO0132		Q74Y42	Q74Y42_YERPE	unreviewed	Ferrous iron transport protein B	feoB YPO0132	Yersinia pestis	WP_002208919.1;YP_002345218.1;
YPO0133		Q7CFX2	Q7CFX2_YERPE	unreviewed	Hypothetical ferrous iron transport protein A	feoA YPO0133	Yersinia pestis	WP_002208918.1;YP_002345219.1;
YPO0134		Q7CFX1	Q7CFX1_YERPE	unreviewed	Uncharacterized protein	YPO0134	Yersinia pestis	WP_002208916.1;YP_002345220.1;
YPO0136		Q7CFX0	Q7CFX0_YERPE	unreviewed	Transcriptional regulatory protein	kmt YPO0136	Yersinia pestis	WP_002208914.1;YP_002345222.1;
YPO0137		Q7CFW9	Q7CFW9_YERPE	unreviewed	Osmolarity sensor protein (EC 2.7.3.-)	envZ YPO0137	Yersinia pestis	WP_002208913.1;YP_002345223.1;
YPO0138		Q8ZJG9	PCKA_YERPE	reviewed	Phosphoenolpyruvate carboxykinase (ATP) (PCK) (PEP carboxykinase) (PEPCK) (EC 4.1.1.49)	pckA YPO0138 y3918 YP_0139	Yersinia pestis	WP_002208912.1;YP_002345224.1;
YPO0139		Q8ZJG8	HSLO_YERPE	reviewed	33 kDa chaperonin (Heat shock protein 33 homolog) (HSP33)	hslO YPO0139 y3919 YP_0140	Yersinia pestis	WP_002208911.1;YP_002345225.1;
YPO0140		Q7CFW8	Q7CFW8_YERPE	unreviewed	Heat shock protein 15	hslR YPO0140	Yersinia pestis	WP_002208910.1;YP_002345226.1;
YPO0141		Q7CFW7	Q7CFW7_YERPE	unreviewed	Uncharacterized protein	YPO0141	Yersinia pestis	WP_002208909.1;YP_002345227.1;
YPO0142		P58722	IGAA_YERPE	reviewed	Putative membrane protein IgaA homolog	YPO0142 y3922 YP_0143	Yersinia pestis	WP_002208908.1;YP_002345228.1;
YPO0144		Q7CFW6	Q7CFW6_YERPE	unreviewed	Putative hydrolase	YPO0144	Yersinia pestis	WP_002208907.1;YP_002345230.1;
YPO0145		Q74Y33	Q74Y33_YERPE	unreviewed	Penicillin-binding protein (EC 2.4.2.-)	b3396 YPO0145	Yersinia pestis	WP_002208906.1;YP_002345231.1;
YPO0150		Q7CFW4	Q7CFW4_YERPE	unreviewed	Putative membrane transport protein	YPO0150	Yersinia pestis	YP_002345236.1;
YPO0151		Q8ZJF7	AROK_YERPE	reviewed	Shikimate kinase 1 (SK 1) (EC 2.7.1.71)	aroK YPO0151 y3933 YP_0153	Yersinia pestis	WP_002208899.1;YP_002345237.1;
YPO0152		Q8ZJF6	AROB_YERPE	reviewed	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	aroB YPO0152 y3934 YP_0154	Yersinia pestis	WP_002208898.1;YP_002345238.1;
YPO0153		Q74Y26	Q74Y26_YERPE	unreviewed	Cell division protein DamX	damX YPO0153	Yersinia pestis	WP_002208897.1;YP_002345239.1;
YPO0154		Q7CFW3	Q7CFW3_YERPE	unreviewed	Site-specific DNA-methyltransferase (adenine-specific) (EC 2.1.1.72)	dam YPO0154	Yersinia pestis	WP_002208895.1;YP_002345240.1;
YPO0155		Q0WKE7	Q0WKE7_YERPE	unreviewed	Ribulose-phosphate 3-epimerase (EC 5.1.3.1)	rpe YPO0155	Yersinia pestis	WP_002215694.1;YP_002345241.1;
YPO0156		Q8ZJF3	GPH_YERPE	reviewed	Phosphoglycolate phosphatase (PGP) (PGPase) (EC 3.1.3.18)	gph YPO0156 y3939 YP_0158	Yersinia pestis	WP_002208892.1;YP_002345242.1;
YPO0157		Q8ZJF2	SYW_YERPE	reviewed	Tryptophan--tRNA ligase (EC 6.1.1.2) (Tryptophanyl-tRNA synthetase) (TrpRS)	trpS YPO0157 y3940 YP_0159	Yersinia pestis	YP_002345243.1;
YPO0159		Q7CFW2	Q7CFW2_YERPE	unreviewed	Putative nitrite transporter	nirC YPO0159	Yersinia pestis	WP_002208888.1;YP_002345245.1;
YPO0162		Q7CFV9	Q7CFV9_YERPE	unreviewed	Cytosine deaminase (EC 3.5.4.1)	codA YPO0162	Yersinia pestis	WP_002208884.1;YP_002345248.1;
YPO0164		Q7CFV8	Q7CFV8_YERPE	unreviewed	Putative membrane receptor protein	YPO0164	Yersinia pestis	WP_002208882.1;YP_002345250.1;
YPO0165		Q7CFV7	Q7CFV7_YERPE	unreviewed	LacI-family transcriptional regulator	YPO0165	Yersinia pestis	WP_002208881.1;YP_002345251.1;
YPO0166		Q7CFV6	Q7CFV6_YERPE	unreviewed	Putative glycosyl hydrolase	YPO0166	Yersinia pestis	WP_002208880.1;YP_002345252.1;
YPO0167		Q0WKD5	Q0WKD5_YERPE	unreviewed	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8)	ppiA YPO0167	Yersinia pestis	WP_002208878.1;YP_002345253.1;
YPO0168		Q7CFV5	Q7CFV5_YERPE	unreviewed	Uncharacterized protein	YPO0168	Yersinia pestis	WP_002215686.1;YP_002345254.1;
YPO0174		Q7CFV4	Q7CFV4_YERPE	unreviewed	Putative membrane protein	YPO0174	Yersinia pestis	WP_002212296.1;YP_002345258.1;
YPO0175		Q7CFV3	Q7CFV3_YERPE	unreviewed	cAMP-regulatory protein	cap YPO0175	Yersinia pestis	WP_002212297.1;YP_002345259.1;
YPO0178		Q0WKC6	Q0WKC6_YERPE	unreviewed	Phosphoribulokinase (EC 2.7.1.19)	prk YPO0178	Yersinia pestis	WP_002212300.1;YP_002345262.1;
YPO0180		Q7CFV0	Q7CFV0_YERPE	unreviewed	Uncharacterized protein	YPO0180	Yersinia pestis	WP_002212302.1;YP_002345264.1;
YPO0182		Q7CFU9	Q7CFU9_YERPE	unreviewed	Putative taurine-binding periplasmic protein	ssiA YPO0182	Yersinia pestis	WP_002212305.1;YP_002345266.1;
YPO0186		Q3V8F4	Q3V8F4_YERPE	unreviewed	Putative sugar transferase	YPO0186	Yersinia pestis	WP_002212311.1;YP_002345270.1;
YPO0192		Q7CFU5	Q7CFU5_YERPE	unreviewed	Uncharacterized protein	YPO0192	Yersinia pestis	WP_002212315.1;YP_002345274.1;
YPO0193		Q7CFU4	SLYD_YERPE	reviewed	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD (PPIase) (EC 5.2.1.8) (Metallochaperone SlyD)	slyD YPO0193 y3975 YP_0191	Yersinia pestis	WP_002212316.1;YP_002345275.1;
YPO0194		Q8ZJC1	SLYX_YERPE	reviewed	Protein SlyX	slyX YPO0194 y3976 YP_0193	Yersinia pestis	WP_002212317.1;
YPO0195		Q0WKB1	Q0WKB1_YERPE	unreviewed	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	fkpA YPO0195	Yersinia pestis	WP_002212318.1;YP_002345277.1;
YPO0196		Q7CFU3	Q7CFU3_YERPE	unreviewed	Putative DNA-binding protein	YPO0196	Yersinia pestis	WP_002228137.1;YP_002345278.1;
YPO0199		Q8ZJB6	TUSB_YERPE	reviewed	Protein TusB (tRNA 2-thiouridine synthesizing protein B)	tusB YPO0199 y3981 YP_0198	Yersinia pestis	WP_002212322.1;YP_002345281.1;
YPO0200		Q8ZJB5	RS12_YERPE	reviewed	30S ribosomal protein S12	rpsL YPO0200 y3983 YP_0199	Yersinia pestis	WP_002212323.1;YP_002345282.1;
YPO0201		Q8ZJB4	RS7_YERPE	reviewed	30S ribosomal protein S7	rpsG YPO0201 y3984 YP_0200	Yersinia pestis	WP_002212324.1;YP_002345283.1;
YPO0202		Q8ZJB3	EFG_YERPE	reviewed	Elongation factor G (EF-G)	fusA YPO0202 y3985 YP_0201	Yersinia pestis	WP_002212325.1;YP_002345284.1;
YPO0203		Q8ZJB2	EFTU1_YERPE	reviewed	Elongation factor Tu-A (EF-Tu-A)	tufA YPO0203 y3986 YP_0202	Yersinia pestis	WP_002212326.1;YP_002345285.1;
YPO0206		Q7CFU0	Q7CFU0_YERPE	unreviewed	Bacterioferritin (EC 1.16.3.1)	bfr YPO0206	Yersinia pestis	WP_002212327.1;YP_002345288.1;
YPO0209		P67906	RS10_YERPE	reviewed	30S ribosomal protein S10	rpsJ YPO0209 y3989 YP_0206	Yersinia pestis	WP_001181005.1;YP_002345289.1;
YPO0210		Q8ZJA9	RL3_YERPE	reviewed	50S ribosomal protein L3	rplC YPO0210 y3990 YP_0207	Yersinia pestis	WP_002218932.1;YP_002345290.1;
YPO0211		P60730	RL4_YERPE	reviewed	50S ribosomal protein L4	rplD YPO0211 y3991 YP_0208	Yersinia pestis	WP_002218934.1;YP_002345291.1;
YPO0212		P69963	RL23_YERPE	reviewed	50S ribosomal protein L23	rplW YPO0212 y3992 YP_0209	Yersinia pestis	WP_002213423.1;YP_002345292.1;
YPO0213		P60436	RL2_YERPE	reviewed	50S ribosomal protein L2	rplB YPO0213 y3993 YP_0210	Yersinia pestis	WP_002213425.1;YP_002345293.1;
YPO0214		Q8ZJA8	RS19_YERPE	reviewed	30S ribosomal protein S19	rpsS YPO0214 y3993.1 YP_0211	Yersinia pestis	WP_002213430.1;YP_002345294.1;
YPO0215		Q8ZJA7	RL22_YERPE	reviewed	50S ribosomal protein L22	rplV YPO0215 y3994 YP_0212	Yersinia pestis	WP_002223844.1;YP_002345295.1;
YPO0216		Q8ZJA6	RS3_YERPE	reviewed	30S ribosomal protein S3	rpsC YPO0216 y3995 YP_0213	Yersinia pestis	WP_002221644.1;YP_002345296.1;
YPO0217		Q8ZJA5	RL16_YERPE	reviewed	50S ribosomal protein L16	rplP YPO0217 y3996 YP_0214	Yersinia pestis	WP_002218940.1;YP_002345297.1;
YPO0218		Q8ZJA4	RL29_YERPE	reviewed	50S ribosomal protein L29	rpmC YPO0218 y3998 YP_0215	Yersinia pestis	WP_002218942.1;YP_002345298.1;
YPO0219		Q8ZJA3	RS17_YERPE	reviewed	30S ribosomal protein S17	rpsQ YPO0219 y3998.1 YP_0216	Yersinia pestis	WP_002228135.1;YP_002345299.1;
YPO0220		Q7CFT7	RL14_YERPE	reviewed	50S ribosomal protein L14	rplN YPO0220 y3999 YP_0217	Yersinia pestis	WP_002213325.1;YP_002345300.1;
YPO0221		Q8ZJA1	RL24_YERPE	reviewed	50S ribosomal protein L24	rplX YPO0221 y4000 YP_0218	Yersinia pestis	WP_002213327.1;YP_002345301.1;
YPO0222		Q8ZJA0	RL5_YERPE	reviewed	50S ribosomal protein L5	rplE YPO0222 y4001 YP_0219	Yersinia pestis	WP_002213329.1;YP_002345302.1;
YPO0222a		Q8ZJ99	RS14_YERPE	reviewed	30S ribosomal protein S14	rpsN YPO0222.1 y4002 YP_0220 YPO0222A	Yersinia pestis	WP_002213330.1;YP_002345303.1;
YPO0223		Q8ZJ98	RS8_YERPE	reviewed	30S ribosomal protein S8	rpsH YPO0223 y4003 YP_0221	Yersinia pestis	WP_002213332.1;YP_002345304.1;
YPO0224		Q7CFT4	RL6_YERPE	reviewed	50S ribosomal protein L6	rplF YPO0224 y4004 YP_0222	Yersinia pestis	WP_002213334.1;YP_002345305.1;
YPO0225		Q8ZJ96	RL18_YERPE	reviewed	50S ribosomal protein L18	rplR YPO0225 y4006 YP_0223	Yersinia pestis	WP_002213336.1;YP_002345306.1;
YPO0226		Q8ZJ95	RS5_YERPE	reviewed	30S ribosomal protein S5	rpsE YPO0226 y4007 YP_0224	Yersinia pestis	WP_002213337.1;YP_002345307.1;
YPO0227		Q7CFT2	RL30_YERPE	reviewed	50S ribosomal protein L30	rpmD YPO0227 y4008 YP_0225	Yersinia pestis	WP_002213339.1;YP_002345308.1;
YPO0228		Q8ZJ93	RL15_YERPE	reviewed	50S ribosomal protein L15	rplO YPO0228 y4009 YP_0226	Yersinia pestis	WP_002213341.1;YP_002345309.1;
YPO0229		Q7CFT0	Q7CFT0_YERPE	unreviewed	Protein translocase subunit SecY	prlA secY YPO0229	Yersinia pestis	WP_002213344.1;YP_002345310.1;
YPO0231		Q8ZJ90	RS13_YERPE	reviewed	30S ribosomal protein S13	rpsM YPO0231 y4012 YP_0229	Yersinia pestis	WP_002213346.1;YP_002345312.1;
YPO0232		Q8ZJ89	RS11_YERPE	reviewed	30S ribosomal protein S11	rpsK YPO0232 y4013 YP_0230	Yersinia pestis	WP_002218948.1;YP_002345313.1;
YPO0233		Q8ZJ88	RS4_YERPE	reviewed	30S ribosomal protein S4	rpsD YPO0233 y4014 YP_0231	Yersinia pestis	WP_002218949.1;YP_002345314.1;
YPO0234		Q8ZJ87	RPOA_YERPE	reviewed	DNA-directed RNA polymerase subunit alpha (RNAP subunit alpha) (EC 2.7.7.6) (RNA polymerase subunit alpha) (Transcriptase subunit alpha)	rpoA YPO0234 y4015 YP_0232	Yersinia pestis	WP_002209013.1;YP_002345315.1;
YPO0235		Q7CFS8	RL17_YERPE	reviewed	50S ribosomal protein L17	rplQ YPO0235 y4016 YP_0233	Yersinia pestis	WP_002209014.1;YP_002345316.1;
YPO0236		Q0WK71	Q0WK71_YERPE	unreviewed	MerR-family transcriptional regulator	YPO0236	Yersinia pestis	WP_002215702.1;YP_002345317.1;
YPO0238		Q8ZJ83	MSCL_YERPE	reviewed	Large-conductance mechanosensitive channel	mscL YPO0238 y4019 YP_0236	Yersinia pestis	WP_002209017.1;YP_002345319.1;
YPO0239		Q7CFS6	Q7CFS6_YERPE	unreviewed	Trk system potassium uptake protein	trkA YPO0239	Yersinia pestis	WP_002209018.1;YP_002345320.1;
YPO0240		Q8ZJ81	RSMB_YERPE	reviewed	Ribosomal RNA small subunit methyltransferase B (EC 2.1.1.176) (16S rRNA m5C967 methyltransferase) (rRNA (cytosine-C(5)-)-methyltransferase RsmB)	rsmB rrmB sun YPO0240 y4021 YP_0238	Yersinia pestis	WP_002215705.1;YP_002345321.1;
YPO0241		Q8ZJ80	FMT_YERPE	reviewed	Methionyl-tRNA formyltransferase (EC 2.1.2.9)	fmt YPO0241 y4022 YP_0239	Yersinia pestis	WP_002209020.1;YP_002345322.1;
YPO0242		Q8ZJ79	DEF_YERPE	reviewed	Peptide deformylase (PDF) (EC 3.5.1.88) (Polypeptide deformylase)	def YPO0242 y4023 YP_0240	Yersinia pestis	WP_002209021.1;YP_002345323.1;
YPO0245a		Q74XX5	TSAC_YERPE	reviewed	Threonylcarbamoyl-AMP synthase (TC-AMP synthase) (EC 2.7.7.87) (L-threonylcarbamoyladenylate synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaC) (tRNA threonylcarbamoyladenosine biosynthesis protein TsaC)	tsaC rimN YPO0245.1 y4027 YP_0244 YPO0245a	Yersinia pestis	WP_002209025.1;YP_002345327.1;
YPO0246		Q8ZJ74	AROE_YERPE	reviewed	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	aroE YPO0246 y4028 YP_0245	Yersinia pestis	WP_002209026.1;YP_002345328.1;
YPO0251		Q8ZJ73	ACTP_YERPE	reviewed	Cation/acetate symporter ActP (Acetate permease) (Acetate transporter ActP)	actP YPO0251 y0508 YP_0404	Yersinia pestis	WP_002209029.1;YP_002345331.1;
YPO0253		Q8D1G8	ACSA_YERPE	reviewed	Acetyl-coenzyme A synthetase (AcCoA synthetase) (Acs) (EC 6.2.1.1) (Acetate--CoA ligase) (Acyl-activating enzyme)	acs YPO0253 y0510 YP_0406	Yersinia pestis	WP_002209031.1;YP_002345333.1;
YPO0254		Q7CKS7	Q7CKS7_YERPE	unreviewed	Proton/glutamate-aspartate symporter	gltP YPO0254	Yersinia pestis	WP_002209033.1;YP_002345334.1;
YPO0266		Q0WK41	Q0WK41_YERPE	unreviewed	Secretion system apparatus protein	YPO0266	Yersinia pestis	WP_002209045.1;YP_002345347.1;
YPO0281		Q56991	HMUT_YERPE	reviewed	Hemin-binding periplasmic protein HmuT	hmuT YPO0281 y0541 YP_0436	Yersinia pestis	WP_002209060.1;YP_002345363.1;
YPO0282		Q56990	HMUS_YERPE	reviewed	Hemin transport protein HmuS	hmuS YPO0282 y0542 YP_0437	Yersinia pestis	WP_002209061.1;YP_002345364.1;
YPO0283		Q56989	HMUR_YERPE	reviewed	Hemin receptor	hmuR YPO0283 y0543 YP_0438	Yersinia pestis	WP_002209062.1;YP_002345365.1;
YPO0284		Q56987	Q56987_YERPE	unreviewed	Uncharacterized protein	YPO0284	Yersinia pestis	WP_002209064.1;YP_002345366.1;
YPO0285		Q7CKR1	Q7CKR1_YERPE	unreviewed	Uncharacterized protein	YPO0285	Yersinia pestis	WP_002215053.1;YP_002345367.1;
YPO0286		Q7CKR0	Q7CKR0_YERPE	unreviewed	Putative coproporphyrinogen III oxidase	YPO0286	Yersinia pestis	WP_002209066.1;YP_002345368.1;
YPO0287		Q7CKQ9	Q7CKQ9_YERPE	unreviewed	Methylenetetrahydrofolate reductase (EC 1.5.1.20)	YPO0287	Yersinia pestis	WP_002209067.1;YP_002345369.1;
YPO0289		Q7CKQ7	Q7CKQ7_YERPE	unreviewed	Putative ATP/GTP-binding protein	YPO0289	Yersinia pestis	WP_002209069.1;YP_002345371.1;
YPO0290		Q7CKQ6	Q7CKQ6_YERPE	unreviewed	Uncharacterized protein	YPO0290	Yersinia pestis	WP_002209070.1;YP_002345372.1;
YPO0291		Q0WK15	Q0WK15_YERPE	unreviewed	Uncharacterized protein	YPO0291	Yersinia pestis	WP_002209071.1;YP_002345373.1;
YPO0292		Q7CKQ5	Q7CKQ5_YERPE	unreviewed	Uncharacterized protein	YPO0292	Yersinia pestis	WP_002209072.1;YP_002345374.1;
YPO0294		Q0WK12	Q0WK12_YERPE	unreviewed	Tellurium resistance protein	terZ YPO0294	Yersinia pestis	WP_002228131.1;YP_002345376.1;
YPO0295		Q0WK11	Q0WK11_YERPE	unreviewed	Putative tellurite resistance protein	terA YPO0295	Yersinia pestis	
YPO0296		Q7CKQ3	Q7CKQ3_YERPE	unreviewed	Tellurite resistance protein	terB YPO0296	Yersinia pestis	WP_002209076.1;YP_002345378.1;
YPO0297		Q74XG9	Q74XG9_YERPE	unreviewed	Tellurium resistance protein	terC YPO0297	Yersinia pestis	WP_002209077.1;YP_002345379.1;
YPO0298		Q0WK08	Q0WK08_YERPE	unreviewed	Tellurium resistance protein	terD YPO0298	Yersinia pestis	WP_002209078.1;YP_002345380.1;
YPO0299		Q7CKQ2	Q7CKQ2_YERPE	unreviewed	Tellurium resistance protein	terE YPO0299	Yersinia pestis	WP_002209079.1;YP_002345381.1;
YPO0306		Q7CKP7	Q7CKP7_YERPE	unreviewed	Uncharacterized protein	YPO0306	Yersinia pestis	WP_002228128.1;YP_002345387.1;
YPO0310		Q8ZJ20	UBIC_YERPE	reviewed	Chorismate pyruvate-lyase (CL) (CPL) (EC 4.1.3.40)	ubiC YPO0310 y0568 YP_0466	Yersinia pestis	WP_002209087.1;YP_002345391.1;
YPO0312		Q8ZJ18	PLSB_YERPE	reviewed	Glycerol-3-phosphate acyltransferase (GPAT) (EC 2.3.1.15)	plsB YPO0312 y0570 YP_0468	Yersinia pestis	WP_002214644.1;YP_002345393.1;
YPO0314		Q8ZJ16	LEXA_YERPE	reviewed	LexA repressor (EC 3.4.21.88)	lexA YPO0314 y0572 YP_0470	Yersinia pestis	WP_002209090.1;YP_002345395.1;
YPO0315		Q0WJZ2	Q0WJZ2_YERPE	unreviewed	Putative regulatory protein	YPO0315	Yersinia pestis	WP_002214647.1;YP_002345396.1;
YPO0316		Q8ZJ14	DUSA_YERPE	reviewed	tRNA-dihydrouridine(20/20a) synthase (EC 1.3.1.-) (EC 1.3.1.91) (U20-specific dihydrouridine synthase) (U20-specific Dus) (tRNA-dihydrouridine synthase A)	dusA YPO0316 y0574 YP_0472	Yersinia pestis	WP_002209092.1;YP_002345397.1;
YPO0319		Q0WJY9	Q0WJY9_YERPE	unreviewed	Quinone oxidoreductase (EC 1.6.5.5)	b4051 YPO0319	Yersinia pestis	WP_002209094.1;YP_002345399.1;
YPO0320		Q7CKP2	Q7CKP2_YERPE	unreviewed	Replicative DNA helicase (EC 3.6.4.12)	b4052 YPO0320	Yersinia pestis	WP_002209095.1;YP_002345400.1;
YPO0321		Q8ZJ10	ALR1_YERPE	reviewed	Alanine racemase 1 (EC 5.1.1.1)	alr1 alr YPO0321 y0578 YP_0476	Yersinia pestis	WP_002209096.1;YP_002345401.1;
YPO0322		Q7CKP1	Q7CKP1_YERPE	unreviewed	Aminotransferase (EC 2.6.1.-)	tyrB YPO0322	Yersinia pestis	WP_002209097.1;YP_002345402.1;
YPO0323		Q74XF0	Q74XF0_YERPE	unreviewed	Uncharacterized protein	YPO0323	Yersinia pestis	WP_002209098.1;YP_002345403.1;
YPO0324		Q8ZJ07	UVRA_YERPE	reviewed	UvrABC system protein A (UvrA protein) (Excinuclease ABC subunit A)	uvrA YPO0324 y0580 YP_0479	Yersinia pestis	WP_002209099.1;YP_002345404.1;
YPO0325		Q8ZJ06	SSB_YERPE	reviewed	Single-stranded DNA-binding protein (SSB)	ssb YPO0325 y0582 YP_0480	Yersinia pestis	WP_002209100.1;YP_002345405.1;
YPO0333		Q8ZIZ9	RHAR_YERPE	reviewed	HTH-type transcriptional activator RhaR (L-rhamnose operon transcriptional activator RhaR)	rhaR YPO0333 y0591 YP_0488	Yersinia pestis	WP_002209110.1;YP_002345413.1;
YPO0337		Q7CKN4	Q7CKN4_YERPE	unreviewed	Putative exported protein	YPO0337	Yersinia pestis	WP_002209112.1;YP_002345416.1;
YPO0341		Q74XD8	Q74XD8_YERPE	unreviewed	Putative TetR-family regulatory protein	YPO0341	Yersinia pestis	WP_002209117.1;YP_002345419.1;
YPO0345		Q8ZIY9	DSBD_YERPE	reviewed	Thiol:disulfide interchange protein DsbD (EC 1.8.1.8) (Protein-disulfide reductase) (Disulfide reductase)	dsbD YPO0345 y0603 YP_0499	Yersinia pestis	WP_002209121.1;YP_002345423.1;
YPO0346		Q74XD3	CUTA_YERPE	reviewed	Divalent-cation tolerance protein CutA	cutA YPO0346 y0604 YP_0500	Yersinia pestis	WP_002209122.1;YP_002345424.1;
YPO0347		Q7CKM9	Q7CKM9_YERPE	unreviewed	Anaerobic C4-dicarboxylate transporter	b4138 YPO0347	Yersinia pestis	WP_002209123.1;YP_002345425.1;
YPO0348		Q0WJW2	Q0WJW2_YERPE	unreviewed	Aspartate ammonia-lyase (Aspartase) (EC 4.3.1.1)	aspA YPO0348	Yersinia pestis	WP_002209124.1;YP_002345426.1;
YPO0349		Q0WJW1	Q0WJW1_YERPE	unreviewed	Putative membrane protein	YPO0349	Yersinia pestis	WP_002209126.1;YP_002345427.1;
YPO0350		Q8ZIY4	CH10_YERPE	reviewed	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groS groES mopB YPO0350 y0608 YP_0505	Yersinia pestis	WP_002209127.1;YP_002345428.1;
YPO0351		Q8ZIY3	CH60_YERPE	reviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL mopA YPO0351 y0609 YP_0506	Yersinia pestis	WP_002209128.1;YP_002345429.1;
YPO0352		Q0WJV8	Q0WJV8_YERPE	unreviewed	Putative lipoprotein	YPO0352	Yersinia pestis	WP_002228126.1;YP_002345430.1;
YPO0353		Q7CKM8	Q7CKM8_YERPE	unreviewed	Uncharacterized protein	YPO0353	Yersinia pestis	WP_002228125.1;YP_002345431.1;
YPO0354		Q8ZIY0	EFP_YERPE	reviewed	Elongation factor P (EF-P)	efp YPO0354 y0612 YP_0510	Yersinia pestis	WP_002209131.1;YP_002345432.1;
YPO0358		Q8ZIX7	FRDC_YERPE	reviewed	Fumarate reductase subunit C (Fumarate reductase 15 kDa hydrophobic protein)	frdC YPO0358 y0615 YP_0513	Yersinia pestis	WP_002209135.1;YP_002345436.1;
